timestamp,chronos_p10,chronos_p50,chronos_p90,origin_date,horizon_step,model,actual
2021-01-01,55514.625,58550.984,61064.15,2020-10-01,1,Chronos-2,57443.01
2021-04-01,55361.633,59444.92,62682.234,2020-10-01,2,Chronos-2,58786.93
2021-07-01,55522.453,60117.65,64048.652,2020-10-01,3,Chronos-2,56216.19
2021-10-01,55052.0,60492.617,65028.035,2020-10-01,4,Chronos-2,57219.96
2021-04-01,54872.74,57893.164,60243.14,2021-01-01,1,Chronos-2,58786.93
2021-07-01,53782.918,58405.285,61923.125,2021-01-01,2,Chronos-2,56216.19
2021-10-01,53017.93,58780.742,63389.03,2021-01-01,3,Chronos-2,57219.96
2022-01-01,52265.844,59083.387,64703.297,2021-01-01,4,Chronos-2,58145.65
2021-07-01,56629.008,59052.15,60799.355,2021-04-01,1,Chronos-2,56216.19
2021-10-01,55934.285,59387.98,61942.133,2021-04-01,2,Chronos-2,57219.96
2022-01-01,55488.78,59706.215,63146.727,2021-04-01,3,Chronos-2,58145.65
2022-04-01,54812.582,59934.33,64045.83,2021-04-01,4,Chronos-2,59852.04
2021-10-01,53022.836,56255.773,59180.203,2021-07-01,1,Chronos-2,57219.96
2022-01-01,51652.676,56516.594,60682.707,2021-07-01,2,Chronos-2,58145.65
2022-04-01,50959.484,56738.04,62075.395,2021-07-01,3,Chronos-2,59852.04
2022-07-01,50499.57,57120.363,63241.836,2021-07-01,4,Chronos-2,61937.63
2022-01-01,54474.895,57251.707,60048.117,2021-10-01,1,Chronos-2,58145.65
2022-04-01,53574.137,57737.016,61442.125,2021-10-01,2,Chronos-2,59852.04
2022-07-01,52980.324,57964.67,62754.55,2021-10-01,3,Chronos-2,61937.63
2022-10-01,52449.45,58313.453,63991.895,2021-10-01,4,Chronos-2,61101.16
2022-04-01,56421.168,58610.36,60573.266,2022-01-01,1,Chronos-2,59852.04
2022-07-01,56197.3,59311.95,61590.297,2022-01-01,2,Chronos-2,61937.63
2022-10-01,55938.832,59572.71,62578.367,2022-01-01,3,Chronos-2,61101.16
2023-01-01,55687.74,60103.086,63648.195,2022-01-01,4,Chronos-2,60472.42
2022-07-01,58050.96,59894.4,61478.1,2022-04-01,1,Chronos-2,61937.63
2022-10-01,57839.234,60385.418,62174.695,2022-04-01,2,Chronos-2,61101.16
2023-01-01,57825.97,60726.25,63089.977,2022-04-01,3,Chronos-2,60472.42
2023-04-01,57583.18,61181.062,64129.586,2022-04-01,4,Chronos-2,60438.95
2022-10-01,60213.777,62432.938,64166.848,2022-07-01,1,Chronos-2,61101.16
2023-01-01,60017.07,62858.668,64985.684,2022-07-01,2,Chronos-2,60472.42
2023-04-01,59925.867,63280.63,66059.78,2022-07-01,3,Chronos-2,60438.95
2023-07-01,59313.75,63502.61,66874.72,2022-07-01,4,Chronos-2,60890.67
2023-01-01,60098.984,62038.37,63466.164,2022-10-01,1,Chronos-2,60472.42
2023-04-01,59580.664,62229.176,64062.742,2022-10-01,2,Chronos-2,60438.95
2023-07-01,59497.52,62561.773,64956.45,2022-10-01,3,Chronos-2,60890.67
2023-10-01,59164.62,63019.438,66007.24,2022-10-01,4,Chronos-2,59552.28
2023-04-01,58416.203,61224.867,63097.266,2023-01-01,1,Chronos-2,60438.95
2023-07-01,57836.28,61599.203,64136.926,2023-01-01,2,Chronos-2,60890.67
2023-10-01,57787.152,62339.453,65646.44,2023-01-01,3,Chronos-2,59552.28
2024-01-01,57197.062,62894.47,67006.44,2023-01-01,4,Chronos-2,59009.99
2023-07-01,58229.086,60807.496,62603.492,2023-04-01,1,Chronos-2,60890.67
2023-10-01,57657.94,61245.414,63795.49,2023-04-01,2,Chronos-2,59552.28
2024-01-01,57363.027,61922.223,65429.0,2023-04-01,3,Chronos-2,59009.99
2024-04-01,57087.453,62585.43,66811.77,2023-04-01,4,Chronos-2,57153.03
2023-10-01,59688.945,61731.375,62995.297,2023-07-01,1,Chronos-2,59552.28
2024-01-01,59672.254,62596.176,64419.035,2023-07-01,2,Chronos-2,59009.99
2024-04-01,59728.312,63455.82,66007.88,2023-07-01,3,Chronos-2,57153.03
2024-07-01,59582.57,64268.68,67579.305,2023-07-01,4,Chronos-2,56567.5
2024-01-01,57601.242,59904.176,61443.93,2023-10-01,1,Chronos-2,59009.99
2024-04-01,57212.89,60577.906,62862.867,2023-10-01,2,Chronos-2,57153.03
2024-07-01,57035.17,61201.22,64402.047,2023-10-01,3,Chronos-2,56567.5
2024-10-01,56639.812,61889.79,65891.836,2023-10-01,4,Chronos-2,56556.34
2024-04-01,57729.266,59814.43,61207.5,2024-01-01,1,Chronos-2,57153.03
2024-07-01,57376.766,60697.254,62804.195,2024-01-01,2,Chronos-2,56567.5
2024-10-01,57410.363,61528.68,64571.89,2024-01-01,3,Chronos-2,56556.34
2025-01-01,57179.387,62539.164,66426.92,2024-01-01,4,Chronos-2,56667.87
2024-07-01,55680.51,58064.77,59746.344,2024-04-01,1,Chronos-2,56567.5
2024-10-01,55161.62,58797.52,60984.953,2024-04-01,2,Chronos-2,56556.34
2025-01-01,54935.043,59549.56,62939.582,2024-04-01,3,Chronos-2,56667.87
2025-04-01,54563.746,60433.426,64904.418,2024-04-01,4,Chronos-2,55591.62
2024-10-01,53996.945,56685.805,58512.277,2024-07-01,1,Chronos-2,56556.34
2025-01-01,52917.336,56939.07,59861.508,2024-07-01,2,Chronos-2,56667.87
2025-04-01,52024.75,57259.305,61387.2,2024-07-01,3,Chronos-2,55591.62
2025-07-01,50962.85,57514.016,62853.688,2024-07-01,4,Chronos-2,
2025-01-01,54347.68,56610.28,58092.836,2024-10-01,1,Chronos-2,56667.87
2025-04-01,53555.6,57087.953,59506.086,2024-10-01,2,Chronos-2,55591.62
2025-07-01,52953.355,57561.758,61280.746,2024-10-01,3,Chronos-2,
2025-10-01,52092.098,58094.73,63145.055,2024-10-01,4,Chronos-2,
2025-04-01,54970.035,56920.07,58194.586,2025-01-01,1,Chronos-2,55591.62
2025-07-01,53672.754,56961.375,59354.484,2025-01-01,2,Chronos-2,
2025-10-01,52872.61,57120.086,60668.312,2025-01-01,3,Chronos-2,
2026-01-01,51888.137,57297.996,61921.26,2025-01-01,4,Chronos-2,
